artist,uri
Boots Riley,spotify:artist:3MmQSMMQE1WaH0CcPZDs4x
Alex Wiley,spotify:artist:0JdGPxHeRGfOyZg3EHwp2g
Ab-Soul,spotify:artist:0g9vAlRPK9Gt3FKCekk4TW
Marty Grimes,spotify:artist:5PTrX29vKxqFe59hnYb8hx
King Chip,spotify:artist:5NjUjtjtkzZqRuWFdspT1K
Russ,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS
Sir Michael Rocks,spotify:artist:2F3zBRfrDfm2FyNT0YKyAx
Mick Jenkins, spotify:artist:1FvjvACFvko2Z91IvDljrx
Vince Staples,spotify:artist:68kEuyFKyqrdQQLLsmiatm
King Los,spotify:artist:29M3C4IzWXrztUr4cV2umC
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
T.I.,spotify:artist:4OBJLual30L7gRl5UkeRcT
Ludacris,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi
Black Hippy,spotify:artist:7a9KRWdaSZktpGGnWndzbC
ScHoolboy Q,spotify:artist:5IcR3N7QB1j6KBL8eImZ8m
MF DOOM,spotify:artist:2pAWfrd7WFF3XhVt9GooDL
Del the Funky Homosapien,spotify:artist:0YsLR3SQd5QTXAhGIGX7cl
Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL
Lupe Fiasco,spotify:artist:01QTIT5P1pFP3QnnFSdsJf
MUNA,spotify:artist:6xdRb2GypJ7DqnWAI2mHGn
Lil Bibby,spotify:artist:4uSN8Y3kgFNVULUWsZEAVW
Project Pat,spotify:artist:08Ld63UgKrJ0nZnCkzHtzc
Waka Flocka Flame,spotify:artist:6f4XkbvYlXMH0QgVRzW0sM
Curren$y,spotify:artist:6X8WdFjrNhXATMDSs26aCc
D12,spotify:artist:5Qi4Bb7a8C0a00NZcA77L0
Rick Ross,spotify:artist:1sBkRIssrMs1AbVkOJbc7a
Living Legends,spotify:artist:0E4UA1bttJjSFNgAkLyQuo
Hieroglyphics,spotify:artist:0XTSrpKEUhzQ5aiYswppxh
Geto Boys,spotify:artist:3f5fB1YUbkUnW7cf7I0R48
Immortal Technique,spotify:artist:7h8ja4JSORo2sXJPmCXRxa
Zion I,spotify:artist:3LLs28LJVlXAjWc8UDkcQZ
Black Star,spotify:artist:67ei8ib6PLT1w3OkhIb4fB
Warren G,spotify:artist:2B4ZHz4QDWJTXPFPgO5peE
Big K.R.I.T.,spotify:artist:0CKa42Jqrc9fSFbDjePaXP
UGK,spotify:artist:6ZhjJOJXXwnPS8PrXdmjLw
N.W.A,spotify:artist:4EnEZVjo3w1cwcQYePccay
The Beatnuts,spotify:artist:5ynvmGwc83ZoRx2EIWHXLX
Danny Brown,spotify:artist:7aA592KWirLsnfb5ulGWvU
Trick Daddy,spotify:artist:12FHARd9fY0Tu0ila4Ua25
DMX,spotify:artist:1HwM5zlC5qNWhJtM00yXzG
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
Lil Dicky,spotify:artist:1tqhsYv8yBBdwANFNzHtcr
Gang Starr,spotify:artist:5cMgGlA1xGyeAB2ctYlRdZ
Three 6 Mafia,spotify:artist:26s8LSolLfCIY88ysQbIuT
Big Boi,spotify:artist:2ht3wxeT69CzyKFChNnNAB
Jadakiss,spotify:artist:5pnbUBPifNnlusY8kTBivi
Trae Tha Truth,spotify:artist:49vCIUW46QY3L5vo1xVFoy
Slug,spotify:artist:5yx7UWOJslWkkad2wMewWY
Thug Life,spotify:artist:76fO70b6BK2xt3UVOe4BIZ
Atmosphere,spotify:artist:1GAS0rb4L8VTPvizAx2O9J
Dom Kennedy,spotify:artist:3s8alQfNnY0roAHaJh7Xxt
